contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
1,Discover NHL Winter Classic- St. Louis Blues v Chicago Blackhawks,event,"41.947304, -87.656447",2024-12-31 16:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/discover-nhl-winter-classic-st-louis-chicago-illinois-12-31-2024/event/040060B096A31E1D,8.40605640411377
2,Chicago Bears vs. Seattle Seahawks,event,"41.86205404, -87.61682143",2024-12-26 19:15:00,Ticketmaster,Football,,,https://www.ticketmaster.com/chicago-bears-vs-seattle-seahawks-chicago-illinois-12-26-2024/event/04006064A3D41501,1.6284743547439575
3,Chicago Bears vs. Detroit Lions,event,"41.86205404, -87.61682143",2024-12-22 12:00:00,Ticketmaster,Football,,,https://www.ticketmaster.com/chicago-bears-vs-detroit-lions-chicago-illinois-12-22-2024/event/04006064A31614B3,1.6284743547439575
4,Chicago Blackhawks vs. Seattle Kraken,event,"41.88124412, -87.67427375",2024-12-19 19:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-seattle-kraken-chicago-illinois-12-19-2024/event/040060E39E871915,4.175461769104004
5,Chicago Blackhawks vs. Edmonton Oilers,event,"41.88124412, -87.67427375",2025-01-11 18:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-edmonton-oilers-chicago-illinois-01-11-2025/event/040060E39DDB1679,4.175461769104004
6,Chicago Blackhawks vs. Montreal Canadiens,event,"41.88124412, -87.67427375",2025-01-03 19:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-montreal-canadiens-chicago-illinois-01-03-2025/event/040060E39DCB15E6,4.175461769104004
7,Chicago Blackhawks vs. Vegas Golden Knights,event,"41.88124412, -87.67427375",2025-01-18 19:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-vegas-golden-knights-chicago-illinois-01-18-2025/event/040060E39DE416A9,4.175461769104004
8,Chicago Blackhawks vs. Colorado Avalanche,event,"41.88124412, -87.67427375",2025-01-08 18:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-colorado-avalanche-chicago-illinois-01-08-2025/event/040060E39DD61676,4.175461769104004
9,Chicago Blackhawks vs. Minnesota Wild,event,"41.88124412, -87.67427375",2025-01-26 18:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-minnesota-wild-chicago-illinois-01-26-2025/event/040060E39DF1174E,4.175461769104004
10,Chicago Blackhawks vs. Tampa Bay Lightning,event,"41.88124412, -87.67427375",2025-01-24 19:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-tampa-bay-lightning-chicago-illinois-01-24-2025/event/040060E39DED16E2,4.175461769104004
11,Chicago Blackhawks vs. Pittsburgh Penguins,event,"41.88124412, -87.67427375",2025-04-06 17:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-pittsburgh-penguins-chicago-illinois-04-06-2025/event/040060E39E3117EF,4.175461769104004
12,Chicago Blackhawks vs. Philadelphia Flyers,event,"41.88124412, -87.67427375",2025-03-23 14:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-philadelphia-flyers-chicago-illinois-03-23-2025/event/040060E39E1B17AE,4.175461769104004
13,Chicago Blackhawks vs. Calgary Flames,event,"41.88124412, -87.67427375",2025-01-13 18:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-calgary-flames-chicago-illinois-01-13-2025/event/040060E39DE01683,4.175461769104004
14,Chicago Blackhawks vs. Nashville Predators,event,"41.88124412, -87.67427375",2025-02-07 19:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-nashville-predators-chicago-illinois-02-07-2025/event/040060E39DFB177A,4.175461769104004
15,Chicago Blackhawks vs. Carolina Hurricanes,event,"41.88124412, -87.67427375",2025-01-20 19:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-carolina-hurricanes-chicago-illinois-01-20-2025/event/040060E39DE916B6,4.175461769104004
16,Chicago Blackhawks vs. Edmonton Oilers,event,"41.88124412, -87.67427375",2025-02-05 20:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-edmonton-oilers-chicago-illinois-02-05-2025/event/040060E39DF61750,4.175461769104004
17,Chicago Blackhawks vs. Winnipeg Jets,event,"41.88124412, -87.67427375",2025-04-12 18:00:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-winnipeg-jets-chicago-illinois-04-12-2025/event/040060E39E3617F3,4.175461769104004
18,Chicago Blackhawks vs. Seattle Kraken,event,"41.88124412, -87.67427375",2025-03-18 19:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-seattle-kraken-chicago-illinois-03-18-2025/event/040060E39E1217A6,4.175461769104004
19,Chicago Blackhawks vs. Vegas Golden Knights,event,"41.88124412, -87.67427375",2025-03-28 19:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-vegas-golden-knights-chicago-illinois-03-28-2025/event/040060E39E2417E3,4.175461769104004
20,Chicago Blackhawks vs. New Jersey Devils,event,"41.88124412, -87.67427375",2025-03-26 18:30:00,Ticketmaster,Hockey,,,https://www.ticketmaster.com/chicago-blackhawks-vs-new-jersey-devils-chicago-illinois-03-26-2025/event/040060E39E2017B8,4.175461769104004
