contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
1,Brooklyn Nets v. Phoenix Suns,event,"40.68285, -73.97519",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/brooklyn-nets-v-phoenix-suns-brooklyn-new-york-01-22-2025/event/3000610DA79E20C0,4.223416805267334
2,CBS Sports Classic,event,"40.7497062, -73.9916006",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/cbs-sports-classic-new-york-new-york-12-21-2024/event/3B0060E29E3C0CB4,4.279386520385742
3,Brooklyn Nets v. Philadelphia 76ers (Kids Game),event,"40.68285, -73.97519",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/brooklyn-nets-v-philadelphia-76ers-kids-brooklyn-new-york-01-04-2025/event/3000610DA7C8241A,4.223416805267334
4,Brooklyn Nets v. Los Angeles Lakers,event,"40.68285, -73.97519",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/brooklyn-nets-v-los-angeles-lakers-brooklyn-new-york-03-10-2025/event/3000610DA7061C71,4.223416805267334
5,Brooklyn Nets v. Philadelphia 76ers,event,"40.68285, -73.97519",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/brooklyn-nets-v-philadelphia-76ers-brooklyn-new-york-02-12-2025/event/3000610DA6E91C4B,4.223416805267334
6,Brooklyn Nets v. Washington Wizards,event,"40.68285, -73.97519",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/brooklyn-nets-v-washington-wizards-brooklyn-new-york-02-05-2025/event/3000610DA7B62300,4.223416805267334
7,Brooklyn Nets v. Toronto Raptors (Kids Game),event,"40.68285, -73.97519",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/brooklyn-nets-v-toronto-raptors-kids-brooklyn-new-york-04-06-2025/event/3000610DA72D1E7F,4.223416805267334
8,Brooklyn Nets v. Toronto Raptors (Nets Unite: Women's Impact Night),event,"40.68285, -73.97519",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/brooklyn-nets-v-toronto-raptors-nets-brooklyn-new-york-03-26-2025/event/3000610DA71C1DEE,4.223416805267334
9,NBA Cup Quarterfinals: New York Knicks v. Atlanta Hawks (12/11),event,"40.7497062, -73.9916006",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/nba-cup-quarterfinals-new-york-knicks-new-york-new-york-12-11-2024/event/3B006111CE0413A9,4.279386520385742
10,New York Giants vs. New Orleans Saints,event,"40.81359, -74.074493",2024-12-08 08:51:48,Ticketmaster,Football,,,https://www.ticketmaster.com/new-york-giants-vs-new-orleans-east-rutherford-new-jersey-12-08-2024/event/00006096DC2D4E03,12.604771614074707
11,New York Giants vs. Baltimore Ravens,event,"40.81359, -74.074493",2024-12-08 08:51:48,Ticketmaster,Football,,,https://www.ticketmaster.com/new-york-giants-vs-baltimore-ravens-east-rutherford-new-jersey-12-15-2024/event/00006096DC134DA6,12.604771614074707
12,New York Knicks vs. San Antonio Spurs,event,"40.7497062, -73.9916006",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/new-york-knicks-vs-san-antonio-new-york-new-york-12-25-2024/event/3B006111CE0713AD,4.279386520385742
13,New York Knicks vs. Toronto Raptors,event,"40.7497062, -73.9916006",2024-12-08 08:51:48,Ticketmaster,Basketball,,,https://www.ticketmaster.com/new-york-knicks-vs-toronto-raptors-new-york-new-york-12-23-2024/event/3B006111CE0613AB,4.279386520385742
14,Harry Potter and the Cursed Child,event,"40.7593, -73.990196",2024-12-08 08:51:48,Ticketmaster,Performance Art,,,https://www.ticketmaster.com/event/Z7r9jZ1A7FYb8,5.339270114898682
15,Harry Potter and the Cursed Child,event,"40.7593, -73.990196",2024-12-08 08:51:48,Ticketmaster,Performance Art,,,https://www.ticketmaster.com/event/Z7r9jZ1A7FYp6,5.339270114898682
16,Harry Potter and the Cursed Child,event,"40.7593, -73.990196",2024-12-08 08:51:48,Ticketmaster,Performance Art,,,https://www.ticketmaster.com/event/Z7r9jZ1A7FYbA,5.339270114898682
17,Harry Potter and the Cursed Child,event,"40.7593, -73.990196",2024-12-08 08:51:48,Ticketmaster,Performance Art,,,https://www.ticketmaster.com/event/Z7r9jZ1A7FYb-,5.339270114898682
18,Harry Potter and the Cursed Child,event,"40.7593, -73.990196",2024-12-08 08:51:48,Ticketmaster,Performance Art,,,https://www.ticketmaster.com/event/Z7r9jZ1A7FYbS,5.339270114898682
19,Harry Potter and the Cursed Child,event,"40.7593, -73.990196",2024-12-08 08:51:48,Ticketmaster,Performance Art,,,https://www.ticketmaster.com/event/Z7r9jZ1A7FY4y,5.339270114898682
20,Harry Potter and the Cursed Child,event,"40.7593, -73.990196",2024-12-08 08:51:48,Ticketmaster,Performance Art,,,https://www.ticketmaster.com/event/Z7r9jZ1A7FYpd,5.339270114898682
