contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
589,Music,,"5.505396, -162.605094",2024-12-06 18:15:51.196865,MockSource,Music,USD,75.77,https://placeholder.url,8.32
986,Music,,"-88.841002, -126.698706",2024-12-06 14:00:51.213165,MockSource,Music,USD,92.76,https://placeholder.url,2.4
689,Outdoors,,"-30.352782, -97.103388",2024-12-07 17:15:51.205154,MockSource,Outdoors,USD,44.51,https://placeholder.url,13.07
464,Festivals,,"-63.462668, -161.31732",2024-12-06 14:30:51.196865,MockSource,Festivals,USD,136.55,https://placeholder.url,8.93
618,Workshops,,"-23.773281, 86.704315",2024-12-07 17:00:51.196865,MockSource,Workshops,USD,32.17,https://placeholder.url,16.03
338,Charity,,"10.105188, 146.493399",2024-12-07 16:45:51.188792,MockSource,Charity,USD,22.53,https://placeholder.url,4.91
458,Music,,"62.863572, -153.982002",2024-12-06 18:30:51.196865,MockSource,Music,USD,131.79,https://placeholder.url,17.91
619,Workshops,,"-62.818242, 132.310557",2024-12-06 22:45:51.196865,MockSource,Workshops,USD,32.89,https://placeholder.url,7.32
177,Workshops,,"-82.719242, 65.431181",2024-12-06 19:15:51.188792,MockSource,Workshops,USD,48.1,https://placeholder.url,1.19
796,Wellness,,"46.133346, 161.726515",2024-12-06 19:45:51.209162,MockSource,Wellness,USD,66.49,https://placeholder.url,6.8
576,Outdoors,,"27.978963, 39.715502",2024-12-06 17:45:51.196865,MockSource,Outdoors,USD,39.87,https://placeholder.url,2.9
665,Wellness,,"-4.117165, 175.105454",2024-12-07 17:00:51.205154,MockSource,Wellness,USD,17.6,https://placeholder.url,0.35
822,Science,,"1.848911, 85.917814",2024-12-06 21:45:51.209162,MockSource,Science,USD,72.68,https://placeholder.url,14.23
392,Festivals,,"36.122894, 98.802829",2024-12-14 23:15:51.196865,MockSource,Festivals,USD,96.2,https://placeholder.url,1.25
100,Science,,"-58.197365, -129.337045",2024-12-06 16:30:51.188792,MockSource,Science,USD,66.98,https://placeholder.url,2.79
498,Science,,"57.459749, 2.998174",2024-12-06 17:45:51.196865,MockSource,Science,USD,49.38,https://placeholder.url,5.46
623,Film,,"-22.621589, 167.378675",2024-12-07 20:15:51.196865,MockSource,Film,USD,20.18,https://placeholder.url,3.29
346,Exhibitions,,"-75.361103, -156.528135",2024-12-06 13:30:51.188792,MockSource,Exhibitions,USD,84.7,https://placeholder.url,0.59
428,Theater,,"5.481816, -82.890199",2024-12-06 23:00:51.196865,MockSource,Theater,USD,46.64,https://placeholder.url,17.98
610,Community,,"-16.047969, 165.631759",2024-12-07 14:00:51.196865,MockSource,Community,USD,19.78,https://placeholder.url,14.12
762,Wellness,,"-11.11475, 28.145059",2024-12-06 15:00:51.207160,MockSource,Wellness,USD,54.97,https://placeholder.url,6.44
884,Outdoors,,"-18.180755, 24.812232",2024-12-06 12:15:51.211163,MockSource,Outdoors,USD,50.0,https://placeholder.url,6.08
15,Gaming,,"-88.547374, 20.432211",2024-12-06 15:00:51.180090,MockSource,Gaming,USD,55.74,https://placeholder.url,13.0
16,Holiday,,"76.514409, -22.859978",2024-12-06 10:00:51.180090,MockSource,Holiday,USD,91.18,https://placeholder.url,1.48
293,Pets,,"51.658969, 57.08132",2024-12-06 16:30:51.188792,MockSource,Pets,USD,29.77,https://placeholder.url,0.5
