contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
1,Boston Bruins vs. Philadelphia Flyers,event,"42.365841, -71.060724",2024-12-07 23:32:45,Ticketmaster,Hockey,,,https://www.ticketmaster.com/boston-bruins-vs-philadelphia-flyers-boston-massachusetts-12-07-2024/event/010060D9D5807611,4.887905597686768
2,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxF,1.4332488775253296
3,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxa,1.4332488775253296
4,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ubx8,1.4332488775253296
5,Boston Red Sox vs. Los Angeles Dodgers,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ub07,1.4332488775253296
6,Boston Red Sox vs. Los Angeles Dodgers,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0A,1.4332488775253296
7,Boston Red Sox vs. Los Angeles Dodgers,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0k,1.4332488775253296
8,Boston Bruins vs. Columbus Blue Jackets,event,"42.365841, -71.060724",2024-12-07 23:32:45,Ticketmaster,Hockey,,,https://www.ticketmaster.com/boston-bruins-vs-columbus-blue-jackets-boston-massachusetts-12-28-2024/event/010060D9D58F7631,4.887905597686768
9,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ub00,1.4332488775253296
10,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0P,1.4332488775253296
11,Boston Red Sox vs. New York Yankees,event,"42.346901, -71.102501",2024-12-07 23:32:45,Ticketmaster,Baseball,,,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0J,1.4332488775253296
12,Boston Bruins vs. Buffalo Sabres,event,"42.365841, -71.060724",2024-12-07 23:32:45,Ticketmaster,Hockey,,,https://www.ticketmaster.com/boston-bruins-vs-buffalo-sabres-boston-massachusetts-12-21-2024/event/010060D9D5857613,4.887905597686768
13,Boston Bruins vs. Colorado Avalanche,event,"42.365841, -71.060724",2024-12-07 23:32:45,Ticketmaster,Hockey,,,https://www.ticketmaster.com/boston-bruins-vs-colorado-avalanche-boston-massachusetts-01-25-2025/event/010060D9D4CC7326,4.887905597686768
14,Boston Celtics vs. Memphis Grizzlies,event,"42.365841, -71.060724",2024-12-07 23:32:45,Ticketmaster,Basketball,,,https://www.ticketmaster.com/boston-celtics-vs-memphis-grizzlies-boston-massachusetts-12-07-2024/event/010060EBE46C72AD,4.887905597686768
